CURRENCY,CODE,IS_RATE,BS_RATE,DATE,RAW_INGESTION_TS,INGESTION_TS
Kenya Shilling,KES,0.010572,0.010572,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Cambodia Riel,KHR,0.00034,0.00034,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
South Korean Won,KRW,0.000948,0.000948,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Kuwait Dinar,KWD,4.445413,4.445413,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Cayman Island Dollar,KYD,1.663232,1.663232,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Sri Lanka Rupee,LKR,0.00441,0.00441,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Myanmar Kyat,MMK,0.000649,0.000649,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Macau Pataca,MOP,0.169278,0.169278,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Mexican Peso,MXN,0.079266,0.079266,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Malaysian Ringgit,MYR,0.350514,0.350514,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Norwegian Krone,NOK,0.143361,0.143361,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
New Zealand Dollar,NZD,0.818378,0.818378,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Panamanian Balboa,PAB,1.363851,1.363851,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Philippine Peso,PHP,0.023651,0.023651,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Polish Zloty,PLN,0.381747,0.381747,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Romanian Leu,RON,0.3159,0.3159,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Swedish Krona,SEK,0.151159,0.151159,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Singapore Dollar,SGD,1.078271,1.078271,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Suriname Dollar,SRD,0.036155,0.036155,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Thai Baht,THB,0.043875,0.043875,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Trinidad and Tobago Dollar,TTD,0.202768,0.202768,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
New Taiwan Dollar,TWD,0.043698,0.043698,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Tanzanian Shilling,TZS,0.000534,0.000534,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Uganda Shilling,UGX,0.000378,0.000378,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
U.S.Dollar,USD,1.363851,1.363851,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Uruguayan Peso,UYU,0.035466,0.035466,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Vietnamese Dong,VND,0.000052,0.000052,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
East Caribbean Dollar,XCD,0.50513,0.50513,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
South African Rand,ZAR,0.085682,0.085682,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Zambian Kwacha,ZMW,0.072432,0.072432,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
Zimbabwe Gold,ZWG,0.052917,0.052917,2026-02-28,2026-03-23T13:44:05.134534Z,2026-09-03T15:55:03.852587Z
United Arab Emirates Dirham,AED,0.371363,0.371363,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Netherlands Antilles Guilder,ANG,0.761927,0.761927,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Argentine Peso,ARS,0.000963,0.000963,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Australian Dollar,AUD,0.971948,0.971948,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Barbados Dollar,BBD,0.681925,0.681925,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Bermuda Dollar,BMD,1.363851,1.363851,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Brunei Dollar,BND,1.078271,1.078271,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
Brazilian Real,BRL,0.265943,0.265943,2026-02-28,2026-03-23T13:40:32.80435Z,2026-09-03T15:55:03.852587Z
